month_id,year,month,job_growth_per,bls_emp_lvl_hsld_thou,bls_avg_weeks_unemp_per,bls_emp_pop_ratio_per,bls_lbr_frc_prtcp_per,bls_not_in_lbr_frc_thou,bls_tot_emp_payrl_thou,bls_unemp_rate_per,fed_fund_rate_per,30_yr_fixed_mrtg_per,swap_rate_per
2004-02,2004,02,0.000506,138542,20.1,62.3,66.0,484,130791,5.6,1.01,5.64,1.41
2004-03,2004,03,-0.000642,138453,19.8,62.2,66.0,514,131123,5.8,1.00,5.45,1.33
2004-04,2004,04,0.001640,138680,19.6,62.3,65.9,492,131372,5.6,1.00,5.83,1.63
2004-05,2004,05,0.001240,138852,19.8,62.3,66.0,476,131679,5.6,1.00,6.27,2.03
2004-06,2004,06,0.002319,139174,20.5,62.4,66.1,478,131753,5.6,1.03,6.29,2.36
2004-07,2004,07,0.002745,139556,18.8,62.5,66.1,504,131785,5.5,1.26,6.06,2.34
2004-08,2004,08,0.000122,139573,18.8,62.4,66.0,534,131917,5.4,1.43,5.87,2.28
2004-09,2004,09,-0.000616,139487,19.4,62.3,65.8,412,132079,5.4,1.61,5.75,2.38
2004-10,2004,10,0.001756,139732,19.5,62.3,65.9,429,132425,5.5,1.76,5.72,2.48
2004-11,2004,11,0.003571,140231,19.7,62.5,66.0,392,132490,5.4,1.93,5.73,2.82
2004-12,2004,12,-0.000756,140125,19.4,62.4,65.9,442,132619,5.4,2.16,5.75,3.02
2005-01,2005,01,0.000856,140245,19.5,62.4,65.8,515,132753,5.3,2.28,5.71,3.22
2005-02,2005,02,0.000998,140385,19.1,62.4,65.9,485,132992,5.4,2.50,5.63,3.39
2005-03,2005,03,0.001916,140654,19.5,62.4,65.9,480,133126,5.2,2.63,5.93,3.70
2005-04,2005,04,0.004266,141254,19.6,62.7,66.1,393,133489,5.2,2.79,5.86,3.74
2005-05,2005,05,0.002513,141609,18.6,62.8,66.1,392,133664,5.1,3.00,5.72,3.76
2005-06,2005,06,0.000741,141714,17.9,62.7,66.1,476,133909,5.0,3.04,5.58,3.82
2005-07,2005,07,0.002202,142026,17.6,62.8,66.1,499,134282,5.0,3.26,5.70,4.08
2005-08,2005,08,0.002873,142434,18.4,62.9,66.2,384,134478,4.9,3.50,5.82,4.27
2005-09,2005,09,-0.000232,142401,17.9,62.8,66.1,362,134545,5.0,3.62,5.77,4.23
2005-10,2005,10,0.001032,142548,17.9,62.8,66.1,392,134629,5.0,3.78,6.07,4.58
2005-11,2005,11,-0.000344,142499,17.5,62.7,66,404,134966,5.0,4.00,6.33,4.79
2005-12,2005,12,0.001775,142752,17.5,62.8,66,451,135125,4.9,4.16,6.27,4.84
2006-01,2006,01,0.002788,143150,16.9,62.9,66,396,135402,4.7,4.29,6.15,4.85
2006-02,2006,02,0.002145,143457,17.8,63,66.1,386,135717,4.8,4.49,6.25,5.08
2006-03,2006,03,0.001980,143741,17.1,63.1,66.2,451,135997,4.7,4.59,6.32,5.19
2006-04,2006,04,0.000139,143761,16.7,63,66.1,381,136179,4.7,4.79,6.51,5.33
2006-05,2006,05,0.002282,144089,17.1,63.1,66.1,323,136202,4.6,4.94,6.60,5.40
2006-06,2006,06,0.001832,144353,16.6,63.1,66.2,481,136279,4.6,4.99,6.68,5.60
2006-07,2006,07,-0.001046,144202,17.1,63,66.1,428,136486,4.7,5.24,6.76,5.66
2006-08,2006,08,0.002933,144625,17.1,63.1,66.2,448,136670,4.7,5.25,6.52,5.49
2006-09,2006,09,0.001314,144815,17.1,63.1,66.1,325,136827,4.5,5.25,6.40,5.38
2006-10,2006,10,0.003446,145314,16.3,63.3,66.2,331,136829,4.4,5.25,6.36,5.37
2006-11,2006,11,0.001514,145534,16.2,63.3,66.3,349,137039,4.5,5.25,6.24,5.30
